SourcePath,SourceGuid,DependencyPath,DependencyGuid,Relation,Ownership
"Assets/Config/Formal/Abilities/Aatrox/AatroxAbilityLoadout.asset","8fbc76321103fb247bd648e41ad357f7","Assets/Scripts/Gameplay/Ability/AbilityLoadoutAsset.cs","d777bfd7214aa684283d480f804d60ed","Direct","EditorOrCode",
"Assets/Config/Formal/Abilities/Aatrox/AatroxE.asset","8e8be4ed5eedca54e985f6627921f2fa","Assets/Art/Icon/Ability/Aatrox/AatroxE.png","237800e8fddf3e54bb1bf43e3e96ff5b","Direct","ClientPresentation",
"Assets/Config/Formal/Abilities/Aatrox/AatroxE.asset","8e8be4ed5eedca54e985f6627921f2fa","Assets/Scripts/Gameplay/Ability/AbilityAsset.cs","c1ffb938a26d10b46b88354c8e8aeb8a","Direct","EditorOrCode",
"Assets/Config/Formal/Abilities/Aatrox/AatroxFixedPassive.asset","f15496fe2a0e113408522ca662ce1684","Assets/Art/Icon/Ability/Aatrox/Aatrox_Passive.png","35a40a65df8df004eb47015ccda2a0c2","Direct","ClientPresentation",
"Assets/Config/Formal/Abilities/Aatrox/AatroxFixedPassive.asset","f15496fe2a0e113408522ca662ce1684","Assets/Scripts/Gameplay/Ability/FixedPassiveDefinitionAsset.cs","60509f831563fe34eb5e0fa5db121c3c","Direct","EditorOrCode",
"Assets/Config/Formal/Abilities/Aatrox/AatroxQ.asset","068666dd3d20a5f489558bcc4a192c7e","Assets/Art/Icon/Ability/Aatrox/AatroxQ1.png","e894b675c21081c48870a9a7933c7439","Direct","ClientPresentation",
"Assets/Config/Formal/Abilities/Aatrox/AatroxQ.asset","068666dd3d20a5f489558bcc4a192c7e","Assets/Art/Icon/Ability/Aatrox/AatroxQ2.png","00e9e3466d875504dacc31d33410c22a","Direct","ClientPresentation",
"Assets/Config/Formal/Abilities/Aatrox/AatroxQ.asset","068666dd3d20a5f489558bcc4a192c7e","Assets/Art/Icon/Ability/Aatrox/AatroxQ3.png","6b760e2beac14724da8a55d9ff3ecd64","Direct","ClientPresentation",
"Assets/Config/Formal/Abilities/Aatrox/AatroxQ.asset","068666dd3d20a5f489558bcc4a192c7e","Assets/Scripts/Gameplay/Ability/AbilityAsset.cs","c1ffb938a26d10b46b88354c8e8aeb8a","Direct","EditorOrCode",
"Assets/Config/Formal/Abilities/Aatrox/AatroxR.asset","ddf98aa7c50788945a38d851c9ac8b87","Assets/Art/Icon/Ability/Aatrox/AatroxR.png","530bdb7b178dc224e98d3a27461805f2","Direct","ClientPresentation",
