Owner,OwnerId,ResourceKind,StableId,AssetPath,Address,DirectReference
"Global","0","Unit","1101","Assets/Config/Formal/Prefabs/Logic/Unit/VarusRuntime.prefab","view/unit/1101","Yes",
"Global","0","Unit","1102","Assets/Config/Formal/Prefabs/Logic/Unit/AatroxHeroRuntime.prefab","view/unit/1102","Yes",
"Global","0","Unit","1201","Assets/Config/Formal/Prefabs/Logic/Unit/TestMeleeMinionBlueRuntime.prefab","view/unit/1201","Yes",
"Global","0","Unit","1202","Assets/Config/Formal/Prefabs/Logic/Unit/TestMeleeMinionRedRuntime.prefab","view/unit/1202","Yes",
"Global","0","Unit","1211","Assets/Config/Formal/Prefabs/Logic/Unit/TestCasterMinionBlueRuntime.prefab","view/unit/1211","Yes",
"Global","0","Unit","1212","Assets/Config/Formal/Prefabs/Logic/Unit/TestCasterMinionRedRuntime.prefab","view/unit/1212","Yes",
"Global","0","Unit","1301","Assets/Config/Formal/Prefabs/Logic/Unit/TestTowerBlueRuntime.prefab","view/unit/1301","Yes",
"Global","0","Unit","1302","Assets/Config/Formal/Prefabs/Logic/Unit/TestTowerRedRuntime.prefab","view/unit/1302","Yes",
"Global","0","Projectile","2101","Assets/Config/Formal/Prefabs/Logic/Projectile/VarusAttackMissle.prefab","view/projectile/2101","Yes",
"Global","0","Projectile","2102","Assets/Config/Formal/Prefabs/Logic/Projectile/VarusSpellQMissle.prefab","view/projectile/2102","Yes",
"Global","0","Projectile","2103","Assets/Config/Formal/Prefabs/Logic/Projectile/VarusSpellRMissle.prefab","view/projectile/2103","Yes",
"Global","0","Projectile","2104","Assets/Config/Formal/Prefabs/Logic/Projectile/VarusEMissle_DesecratedGround.prefab","view/projectile/2104","Yes",
"Global","0","Projectile","2105","Assets/Config/Formal/Prefabs/Logic/Projectile/AatroxSpellWMissle.prefab","view/projectile/2105","Yes",
"Global","0","Projectile","2201","Assets/Config/Formal/Prefabs/Logic/Projectile/BlueTeamGeneralAttackMissle.prefab","view/projectile/2201","Yes",
"Global","0","Projectile","2202","Assets/Config/Formal/Prefabs/Logic/Projectile/RedTeamGeneralAttackMissle.prefab","view/projectile/2202","Yes",
"Global","0","Projectile","2106","Assets/Config/Formal/Prefabs/Logic/Projectile/InfernalChainsArea.prefab","view/projectile/2106","Yes",
"Global","0","ParticleVfx","3101","","vfx/3101","No",
"Global","0","ParticleVfx","3102","","vfx/3102","No",
"Global","0","ParticleVfx","3103","","vfx/3103","No",
"Global","0","Misc","5001","Assets/Config/Formal/Prefabs/Logic/Map/Map.prefab","view/map/main","Yes",
"Global","0","UnitPrototype","1001","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","1002","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","2001","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","2002","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","2101","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","2102","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","3001","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","3002","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","3101","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","UnitPrototype","3102","Assets/Config/Formal/FullMatchUnitRuntimeCatalog.asset","","Yes",
"Global","0","AbilityAsset","10011","Assets/Config/Formal/Abilities/VarusQ.asset","","Yes",
"Global","0","AbilityAsset","10012","Assets/Config/Formal/Abilities/VarusW.asset","","Yes",
"Global","0","AbilityAsset","10013","Assets/Config/Formal/Abilities/VarusE.asset","","Yes",
"Global","0","AbilityAsset","10014","Assets/Config/Formal/Abilities/VarusR.asset","","Yes",
"Global","0","AbilityAsset","10021","Assets/Config/Formal/Abilities/Aatrox/AatroxQ.asset","","Yes",
"Global","0","AbilityAsset","10022","Assets/Config/Formal/Abilities/Aatrox/AatroxW.asset","","Yes",
"Global","0","AbilityAsset","10023","Assets/Config/Formal/Abilities/Aatrox/AatroxE.asset","","Yes",
"Global","0","AbilityAsset","10024","Assets/Config/Formal/Abilities/Aatrox/AatroxR.asset","","Yes",
"Global","0","FixedPassive","10010","Assets/Config/Formal/Abilities/VarusFixedPassive.asset","","Yes",
"Global","0","FixedPassive","10020","Assets/Config/Formal/Abilities/Aatrox/AatroxFixedPassive.asset","","Yes",
